srno,timestamp,log_level,thread_id,group_id,module,message
16316,"2025-01-08 04:05:41,934",DEBUG,25,4451,api/v1/alert/list,"reading input - payload, query params and path vars"
16317,"2025-01-08 04:05:41,934",DEBUG,25,4451,api/v1/alert/list,performing input validation
16318,"2025-01-08 04:05:41,936",INFO,30,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16319,"2025-01-08 04:05:41,936",DEBUG,25,4451,api/v1/alert/list,generating output
16320,"2025-01-08 04:05:41,936",INFO,30,4452,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4452]
16321,"2025-01-08 04:05:41,936",DEBUG,30,4452,api/v1/alert/list,Checking user authz
16322,"2025-01-08 04:05:41,939",INFO,31,4450,api/v1/alert/list,Request END -- [8]
16323,"2025-01-08 04:05:41,944",DEBUG,30,4452,api/v1/alert/list,"reading input - payload, query params and path vars"
16324,"2025-01-08 04:05:41,944",DEBUG,30,4452,api/v1/alert/list,performing input validation
16325,"2025-01-08 04:05:41,945",DEBUG,30,4452,api/v1/alert/list,generating output
16326,"2025-01-08 04:05:41,945",INFO,25,4451,api/v1/alert/list,Request END -- [8]
16327,"2025-01-08 04:05:41,949",INFO,28,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16328,"2025-01-08 04:05:41,949",INFO,28,4453,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4453]
16329,"2025-01-08 04:05:41,949",DEBUG,28,4453,api/v1/alert/list,Checking user authz
16330,"2025-01-08 04:05:41,954",INFO,30,4452,api/v1/alert/list,Request END -- [9]
16331,"2025-01-08 04:05:41,955",DEBUG,28,4453,api/v1/alert/list,"reading input - payload, query params and path vars"
16332,"2025-01-08 04:05:41,955",DEBUG,28,4453,api/v1/alert/list,performing input validation
16333,"2025-01-08 04:05:41,957",DEBUG,28,4453,api/v1/alert/list,generating output
16334,"2025-01-08 04:05:41,957",INFO,32,0,runtime,Request received for endpoint: [lcl/api/v1/alert/list]
16335,"2025-01-08 04:05:41,957",INFO,32,4454,api/v1/alert/list,Request START -- [49.43.88.107][lcl/api/v1/alert/list][en_US][4454]
16336,"2025-01-08 04:05:41,957",DEBUG,32,4454,api/v1/alert/list,Checking user authz
